CLUE,ANS,OUTPUT
Provide with fresh accommodation ,rehouse,"['Lodging', 'Housing', 'Shelter', 'Abode', 'Quarters', 'Stay', 'Residence', 'Suites', 'Rooms', 'Billets', 'Inns', 'Hostelry ', 'Chambers', 'Habitation', 'Dwelling', 'Retreat', 'Lodging', 'Homestead', 'Villa', 'Estate']"
Exclude from society ,ostracise,"['Ostracize  ', 'Expel   ', 'Banish    ', 'Purge      ', 'Reject     ', 'Alienate   ', 'Shun       ', 'Isolate    ', 'Excommunicate  ', 'Proscribe ', 'Disenfranchise', 'Snub      ', 'Estrangement', 'Pariah     ', 'Sidelined  ', 'Expatiated', 'Outcast    ', 'Relegate   ', 'Exclude   ', 'Disavow']"
"Covered ground qith mixtureof straw, leaves etc ",mulched,"['Mulch', 'Compost', 'Hay', 'Humus', 'Litter', 'Debris', 'Strawbedding', 'Topsoil', 'Manure', 'Biomass', 'Rakeup', 'Green manure', 'Muck', 'Peat moss', 'Forage', 'Bedding materials', 'Fodder', 'Humified soil ', 'Organic matter']"
Card game - pontoon - couple,bridge,"['Hand', 'Dealer', 'Poker face', 'Blackjack', 'Suits (Hearts, Diamonds, Clubs, Spades)', 'Ace', 'Betting', 'Fold', 'High card', 'Hit', 'Split ', 'Double down', 'Royal Flush', ""Couple's game"", 'Joker', 'Bust (busting)', 'House edge', 'Bluff', 'Card sharp/shark', 'Pontoon face (Pontoon is a version of Blackjack, hence the term ""pontoon face"")']"
Places to sleep ,beds,"['Bedroom', 'Inn', 'Dormitory', 'Hostel', 'Cabin', 'Tent', 'Campsite', 'Lodge', 'Suite', 'Bunkhouse', 'Hotel room', 'Quarters', 'Sleeper bus', 'Hammock', 'Yurt', 'Pod', 'Hearth bedroom', 'Villa', 'RV (Recreational Vehicle) ', 'Treehouse']"
Elastic item,rubber band,"['Bounceable', 'Stretchy', 'Expandablen', 'Pliant', 'Flexible', 'Yielding', 'Supple', 'Tautness-retaining ', 'Springback', 'Resilient', 'Elasticized', 'Extensible', 'Compressiblen', 'Malleable', 'Stretchfabric', 'Duraplastic', 'Rubberlike', 'Dough-like', 'Non-rigid', 'Tear-resistant (in context of elastic materials)']"
"Bond, e.g. ",agent,"['Connection  ', 'Attachment  ', 'Relationship  ', 'Affiliation  ', 'Alliance  ', 'Association  ', 'Partnership  ', 'Unification  ', 'Combination  ', 'Linkage  ', 'Interaction  ', 'Companionship  ', 'Integration  ', 'Unity  ', 'Correlation  ', 'Synergy  ', 'Consortium  ', 'Coalition  ', 'Collaboration  ', 'Amalgamation ']"
Like the heath in Macbeth,blasted,"['Bleak', 'Desolate', 'Barren', 'Wild', 'Gritty', 'Moorish', 'Tumultuous', 'Dark', 'Foreboding ', 'Mysterious', 'Treacherous', 'Brooding', 'Haunting', 'Savage', 'Chilling', 'Unforgiving', 'Eerie', 'Melancholy', 'Ominous']"
Grumble - complain,grouch,"['Whine', 'Gripe', 'Moan', 'Protest', 'Lament', 'Rant', 'Groan', 'Bemoan', 'Decry', 'Object (verb) - as in to express or feel disapproval, pain, etc., especially on grounds of unfairness', 'Discontented', 'Dissatisfied', 'Unhappy employee', 'Carping (carry on)', 'Nitpicking', 'Quibbling', 'Dissent (verb) - to hold or express opinions that are at variance with those previously, commonly, or officially expressed', 'Venting (anger/frustration)', 'Backlash', 'Outcry']"
Business that serves other businesses ,agency,"['B2B (Business-to-Business)', 'CommerceCenter', 'WholesaleHub', 'MerchantMaker', 'TradePortal', 'CorporateMarketplace', 'IndustrialExchange', 'EnterpriseNetwork ', 'BusinessAlliance', 'SupplierSphere', 'TraderTrove', 'BizBazaar', 'CommerceCommunity', 'MarketMakers', 'IndustrialInterchange', 'CorporateCorridor', 'EnterpriseEnclave', 'BusinessBrokerage', ""Trader's Tapestry "", 'CommerceConclave']"
