CLUE,ANS,POS,FOUND IN
Distribute cards ,deal,9,Dealing - the action of distributing cards from a deck to each player at the beginning of a game round.
Sovereign ,ruler,7,Pharaoh (ancient Egyptian ruler)
Fulfil the requirements ,qualify,12,"Qualify - to satisfy the conditions for a certain status, job position, or privilege."
One looks after church and churchyard ,sexton,8,Sexton - an ecclesiastical officer responsible for the burial grounds and maintenance of a churchyard.
Flower; part of the eye ,iris,2,Iris (part of the eye responsible for controlling light entry and color perception)
"John -, Endymion poet ",keats,2,"Lyricism (poetry style) - reflective of John Keats, known for his lyrical odes."
Of an empire ,imperial,15,Oligarchy (as part of an imperial rule by a few elite families or classes)
Bury ,inter,1,Interment - The act of placing a body in a grave or tomb after a funeral service.
Corpses ,bodies,6,Decaying Bodies
"Pink, increased ",rose,2,Rose petal - Delicate and fragrant pink flowers that come in various shades from pale to deep red-pink.
Fast Brazilian dance ,lambada,13,"Lambada - Although primarily a Brazilian dance genre derived from lambas in the Amazon region, it often features quick and sensual movements."
Seethe ,boil,1,Boil - to heat until bubbling or boiling vigorously
Kind of rehearsal like thirsty trot ,dry run,6,"Dry run (a non-critical, full-scale practice of an event's proceedings without live elements)"
Impressed deeply ,awed,14,Overawed
Aperture for lock opening ,keyhole,1,Keyhole - The small hole in a door or a secure container designed to align with and be opened by a key.
Towers attached to mosques ,minarets,13,Ablution fountain (commonly located near minarets for ritual purification)
Strong and sharp-smelling ,acrid,5,Acrid (strongly bitter or sharp)
Large American vulture ,condor,4,"California Condor (Gymnogyps californianus) - Despite being primarily found in North American regions like California, Arizona, Utah, and Baja California, it is a large bird with conservation efforts tying back to America"
