CLUE,ANS,OUTPUT
His cave is on Staffa,fingal,"['Basalt', 'Geologic', 'Natural', 'Speleothem', 'Cavernous', 'Stalactite', 'Limestone', 'Grotto', 'Subterranean', 'Karst landscape', 'Volcanic', 'Fumarole', 'Crystal clear', 'Bioluminescent', 'Ecosystem', 'Tide pool', 'Cool temperature', 'Lava tube', 'Sea cave', 'Mossy']"
Without delay,pronto,"['Promptly', 'Immediately', 'Instantly', 'Quickly', 'Hastily', 'Right away', 'At once', 'Punctually', 'Expeditiously', 'Speedily', 'No delay', 'Without hesitation', 'Preemptively', 'In a flash', 'Straightaway', 'Directly', 'Posthaste', 'Unhesitatingly', 'Instantaneously', 'Swiftly']"
General survey of a plan ,review,"['Overview', 'Outline', 'Blueprint', 'Map', 'Atlas', 'Schematic', 'Survey', 'Planogram', 'Layout', 'Framework', 'Diagram', 'Drafting', 'Sketch', 'Chart', 'Grid', 'Mapping', 'Projection', 'Examination', 'Summary', 'Preliminary plan']"
Swearword,oath,"['Damn', 'Hell', 'Crap', 'D***', 'Filthy', 'Sh*t', 'Bloody', 'Ass', 'B*ch', 'Nuts', 'Arsehole', 'Stupid', 'Tongue-twister', 'Crude', 'Jerk', 'Ruddy', 'Hurtful', 'Unpleasant', 'Obscene', 'Noxious']"
Remain in the vicinity ,stick around,"['Linger', 'Loiter', 'Stay put', 'Hang around', 'Abide nearby', 'Tarry', 'Dwell near', 'Restrict movement', 'Retain position', 'Prolong presence', 'Maintain proximity', 'Remain close', 'Keep by', 'Persist in staying', 'Hold onto place', 'Behave stationary', 'Stay put and idle', 'Abide within reach', 'Loose boundaries, remain nearby', 'Hang around the spot']"
Construct ,erect,"['Build - To construct or assemble something, typically using raw materials like bricks and mortar.', 'Design - Plan out the shape, size, and functionality of an object before it is constructed.', 'Assemble - Bring together individual components to form a complete structure or item.', 'Establish - Create (an organization) by setting up its infrastructure and operations.', 'Engineer - Design and develop complex structures, systems, or products using scientific principles.', 'Fabricate - Construct or manufacture something artificially, typically in a controlled environment like a factory.', 'Formulate - Develop (a formula) by carefully combining different elements to create something new.', ""Invent - Create something new or original that didn't exist before its creation."", 'Manufacture - Produce large quantities of goods through industrial processes in factories.', 'Plan - Develop a detailed proposal for constructing or organizing something, outlining the steps needed to achieve it.', 'Construct - Build or put together physical structures using various techniques and tools.', 'Arrange - Organize (objects) by placing them in specific positions or patterns.', 'Compile - Collect and assemble information or materials from different sources, often for a single purpose.', 'Develop - Evolve or progress through stages of growth or improvement, typically leading to construction.', 'Create - Produce something new by imagining and bringing it into existence.', 'Implement - Put (a plan or idea) into effect, often resulting in the physical construction of a concept.', 'Organize - Arrange things systematically for efficient functioning; also used to describe creating an orderly structure.', 'Formulate - Develop and design complex structures by using scientific principles and methods.', 'Construct - Build, assemble or create something by combining different elements according to a plan.', 'Establish - Set up (something) in its final location; also used to describe creating an initial structure or foundation for future development.']"
Ample ,enough,"['Abundant', 'Copious', 'Plentiful', 'Generous', 'Voluminous', 'Bountiful', 'Overflowing', 'Lavish', 'Prodigious', 'Rich (in resources)', 'Fatty', 'Heavy (as in ample amounts of food)', 'Gigantic (referring to size or quantity)', 'Sufficient', 'Plentiful-filled ', 'Overflowing-full', 'Dense (in population or resources)', 'Prosperous (as in wealth)', 'Copious-flowing', 'Lavishly provided']"
Looking steadily ,gazing,"['Gaze', 'Stare', 'Behold', 'Observe', 'Watch', 'Scan', 'Inspect', 'Fixate', 'Focus', 'Peer', 'Survey', 'Examine', 'Monitor', 'Contemplate', 'Ponder', 'Peruse', 'Study', 'Glancer', 'Vigilant', 'Unwavering']"
Button used on quiz shows?,buzzer,"['Puzzle', 'Quandary', 'Conundrum', 'Enigma', 'Riddle', 'Brainteaser', 'Challenge', 'Trivia', 'Query', 'Inquiry', 'Question', 'Answer', 'Response', 'Hint', 'Clue', 'Indicator', 'Stimulus', 'Trigger', 'Catalyst', 'Tip']"
Makes fun of ,mocks,"['Laughter', 'Mockery', 'Parody', 'Satire', 'Caricature', 'Jesting', 'Ribbing', 'Taunting', 'Spoof', 'Farce', 'Humor', 'Snickering', 'Jeering', 'Roasting', 'Wheeze (used in a lighthearted context)', 'Rib-a-Dabble (playful mockery)', 'Banter (light teasing between friends)', 'Lamping (teasing or jesting, often used playfully among comrades)', ""Jibes (brief jokes at someone's expense)"", 'Gallows humor (humor that involves dark and potentially offensive subjects to lighten the mood in stressful situations).']"
Handheld power tool -- Greenland rig ,anglegrinder*,"['Drill - A handheld power tool used for drilling holes in various materials.', 'Impact driver - Similar to a drill but designed specifically for driving screws with less effort and increased efficiency.', 'Hammer drill - Combines the functions of a hammer and drill, allowing users to drill through tougher surfaces like concrete or brick.', 'Jigsaw - A power tool used primarily in cutting intricate curves and shapes out of wood, metal, or other materials.', 'Sawzall (reciprocating saw) - An electric-powered handheld tool with a long blade that moves back and forth rapidly to cut through various materials quickly.', 'Chainsaw - A powerful portable power tool designed for cutting wood, typically used in logging or forestry work.', 'Angle grinder - Used primarily for cutting concrete, metal, or other hard surfaces with a rotating abrasive disc.', 'Rotary hammer - A heavy-duty tool that combines the functions of a pneumatic drill and impact driver to remove masonry materials.', 'Palm sander - Handheld power tool designed for sanding small areas or curved surfaces with fine-grit abrasives.', 'Router - A versatile handhitedoor that can shape edges, create grooves and contours in woodworking projects.', 'Nail gun (nailer) - A tool designed to drive nails into a material quickly and efficiently using compressed air or electricity.', 'Reciprocating saw blade - An attachment for reciprocating saws that can be changed out according to the desired cutting task, such as woodcutting or masonry demolition.', 'Circular sawblade - A versatile circular blade used with a portable or stationary power-operated hand tool for making straight cuts in various materials.', 'Band saw blade - An attachment designed to fit on band saw machines, allowing users to make precise and intricate cuts in woodworking projects.', 'Hammer drill bit (drill bit) - A type of drill bit used with a hammer-action power tool like the impact or rotary hammer for drilling into masonry materials.', 'Masonry chisel blade - An attachment designed to work specifically with masonry tools, such as angle grinders or rotary hammers, to demolish and shape brick, concrete, or stone structures.', 'Screwdriver bit (drill bit) - A specialized drill bit used in a power tool for driving screws into different materials with ease and precision.', 'Tile cutter blade - An attachment designed to fit on tile cutting tools like manual or wet saws, allowing users to make precise straight or curved cuts in tiles, ceramics, and other hard surfaces.', 'Cut-off wheel (abrasive disc) - A durable abrasive disk used with power tool attachments for cutting through various materials like metal, concrete, or wood.', 'Plunge router bit - An attachment designed to be used with a plunge router, allowing users to make precise and intricate cuts in different types of materials such as laminates, masonry, and woods.']"
Madman ,lunatic,"['Psychopath', 'Maniac', 'Deranged', 'Violent', 'Irresponsible', 'Unstable', 'Insane', 'Crazed', 'Wrecking ball', 'Berserk', 'Chaotic', 'Anarchic', 'Agitated', 'Hysterical', 'Disturbed', 'Frenzied', 'Unhinged', 'Disoriented', 'Intense', 'Fanatical']"
