CLUE,ANS,OUTPUT
Japanese commander ,shogun,"['Yamamoto', 'Togo', 'Isoroku', 'Nishimura', 'Yamagata', 'Kurita', 'Koga', 'Yoshida', 'Toyoda', 'Suzuki', 'Nagumo', 'Shigeru', 'Ugaki', 'Oota', 'Yamamoto-Sanji', 'Kodaira', 'Yasue', 'Seizo', 'Kiyohide', 'Tomoyuki ']"
Sustain,incur,"['Maintainable', 'Preserve', 'Uphold', 'Continue', 'Endure', 'Prolong', 'Persevere', 'Conserve', 'Retain', 'Support', 'Strengthen', 'Sustainably', 'Abide', 'Keep', 'Hold', 'Resist', 'Thrive', 'Persist', 'Withstand']"
Born as ,nee,"['Adopted', 'Fostered', 'Naturalized', 'Initiated', 'Elected', 'Launched', 'Nurtured', 'Conceived (intellectually)cued', 'Instigated ', 'Inducted', 'Created', 'Founded', 'Established', 'Inaugurated', 'Emancipated', 'Matured', 'Developed', 'Manifested', 'Materialized ', 'Revealed']"
"Sheets, etc. ",bed linen,"['Fabric', 'Linens', 'Bedding', 'Duvet', 'Quilt', 'Blanket', 'Bedsheets', 'Comforter', 'Coverlet', 'Mattresspad', 'Pillowcase', 'Flannel', 'Satin', 'Cotton', 'Terrycloth', 'Polyester', 'Fleece', 'Microfiber', 'Velvet', 'Egyptian cotton']"
Disregard deliberately ,turn a blind eye,"['Ignore', 'Neglect', 'Overlook', 'Bypass', 'Sidestep', 'Omit', 'Forego', 'Evade', 'Dismiss', 'Slight', 'Discount', 'Underplay', 'Skirt around', 'Exclude', 'Ignominious', 'Downplay', 'Shun', 'Brush aside', 'Minimize', 'Reject']"
Call upon in prayer ,invoke,"['Beseeching', 'Invocation', 'Supplication', 'Intercession', 'Implore', 'Prayerfulness', 'Petition', 'Pleadings', 'Appeal', 'Consecration', 'Devotion', 'Votive', 'Benediction', 'Meditation', 'Worship', 'Spirituality', 'Faithfulness', 'Piety', 'Reverence', 'Communion']"
Dog? ,barker,"['Canine', 'Pup', 'Pooch', 'Fido (a common name for dogs)', ""Rover (often used as dog's names and synonymous with 'wanderer')"", 'Hound', 'Mutt', 'Cur', 'Collie', 'Spaniel', 'Retriever', 'Bulldog', 'Beagle', 'Terrier', 'Boxer', 'Shepherd (as in German Shepherd)', 'Mastiff', 'Dachshund (""badger dog"" in German)', 'Poodle', 'Huskie']"
Fish-eating bird ,sea eagle,"['Osprey', 'Kingfisher', 'Pelican', 'Heron', 'Cormorant', 'Penguin', 'Seagull', 'Tern', 'Ibises', 'Arctic tern', 'Osprey', 'Eagle-ray (misleading, not a fish but may be associated with aquatic environments)', 'Skimmer', 'Phalarope', 'Shag', 'Reed warbler (though less known for eating fish specifically)', 'Anhinga ', 'Puffin', 'Darter', 'Loon']"
Gut pain,bellyache,"['Discomfort', 'Ache', 'Distress', 'Agony', 'Anguish', 'Unease', 'Malaise', 'Soreness', 'Cramps', 'Twinge', 'Gastritis', 'Dyspepsia', 'Ulceration', 'Irritation', 'Tumultuousness', 'Rebellion (as in gut rebellion)', 'Unrest', 'Suffering ', 'Torment']"
Reproduction,copy,"['Propagation', 'Fertilization', 'Breeding', 'Pollination', 'Budding', 'Cloning', 'Spawning', 'Crossover', 'Incubation', 'Cultivation', 'Impregnation', 'Conception', 'Hybridization', 'Proliferation', 'Repopulation', 'Fissioning ', 'Insemination', 'Mitosis', 'Mating', 'Germination', 'Segmentation']"
Chooses ,opts,"['Selects', 'Elects', 'Designates', 'Appoints', 'Picks', 'Determines', 'Decides', 'Specifies', 'Assigns', 'Choses', 'Opting for', 'Prefers', 'Opens for selection', 'Nominates', 'Endorses', 'Confirms', 'Designation of', 'Determining choice', 'Preferential choice', 'Choosing method']"
Spasm ,paroxysm,"['Convulsion', 'Cramping', 'Twitching', 'Contraction', 'Quivering', 'Trembling', 'Seizure', 'Shuddering', 'Thrashing', 'Spasming', 'Fibrillation', 'Jerking', 'Retching', 'Pullulating', 'Colic', 'Involuntary movements', 'Clenching', 'Twisting', 'Knotting', 'Constricting']"
Able (to do something) ,at the double,"['Capable', 'Skilled', 'Proficient', 'Talented', 'Competent', 'Qualified', 'Versatile', 'Adept', 'Accomplished', 'Gifted', 'Expert', 'Adroit', 'Knowledgeable', 'Clever', 'Resourceful', 'Experienced', 'Articulate', 'Intelligent', 'Efficient', 'Wise']"
Upright fish ,sea horse,"['Angelfish', 'Goliath Titan', 'Pygmy Sunfish', 'Sculpin Staghorn', 'Cichlid', 'Jack Dempsey', 'Rainbow Fish (eagle ray)', 'Lionfish', 'Pike-cichlid', 'Silver Arowana', 'Tinfoil Barbus', 'Sunburst Bass', 'Walking Catfish', 'Snakehead', 'African Butterfly Fish', 'Flowerhorn Cichlid', 'Red-tailed Black Shark', 'Silver Arowana (Synonym)', 'Mbuna Cichlid']"
Tract of swampy land ,morass,"['Marshland', 'Wetland', 'Boggy area', 'Fen territory', 'Mire region', 'Swamp zone', 'Quagmire field', 'Peatland expanse', 'Waterlogged ground', 'Soggy soil sector', 'Hydric habitat', 'Bogsphere ', 'Fenlands', 'Mushy landmass', 'Swampwood district', 'Marshescape', 'Wetland territory', 'Quagmire region', 'Crannied terrain']"
Series of actions to achieve a goal ,campaign,"['Process', 'Procedure', 'Methodology', 'Steps', 'Sequence', 'Technique', 'Routine', 'Phases', 'Stages', 'Progressions', 'Actionsplan', 'Operations', 'Tasks', 'Instructions', 'Guidelines', 'Strategy', 'Planofattack', 'Approach', 'Systems', 'Framework']"
Small change,shrapnel,"['Coin', 'Penny', 'Cent', 'Mite', 'Nugget', 'Shilling', 'Trifle', 'Fragment', 'Dime', 'Firkin (old weight measure)', 'Pence (plural of penny)', 'Gratuity', 'Token', 'Bit', 'Tittle', 'Sliver', 'Scrap', 'Quibble ', 'Bead (as in a glass bead, which could represent small change in some contexts)']"
Administrative assistant to commanding officer ,adjutant,"['Aide-de-camp', 'Executive secretary', 'Secretary to the general', ""Staff Sergeant's clerk"", 'Command Scribe', 'Deputy Assistant Govt Official', 'Military aide', 'Civilian assistant', ""Commander's correspondent"", 'Office manager for commanding officer', 'Executive support coordinator', 'Specialist to the colonel', 'Command executive assistant', 'Staff administrator ', 'Operations assistant', ""Field Officer's scribe"", 'Administrative aide for CO', 'Personal administrative support officer', 'Senior staff clerk to commanding officer', 'Command bureaucrat']"
English county,staffordshire,"['Cornwall', 'Yorkshire', 'Norfolk', 'Derbyshire', 'Lancashunte', 'Somerset', 'Suffolk', 'Gloucestershire', 'Northamptonshire', 'Essex', 'Wiltshire', 'Worcestershire', 'Kent', 'Hampshire', 'Cheshire', 'Nottinghamshire', 'Cambridgeshire', 'Durham', 'Rutland', 'Shropshire']"
Rider Haggard character -- Mrs ,shewhomustbe*,"['Ayesha', 'Horace Holly', 'Leo Vincey', 'Ustane', 'Kama Sooben', 'She-who-must-be-obeyed', 'Keeraubeart', 'Zerbal', 'Sabor', 'Haghta', 'Oofty-goosey ', 'Kukuan', 'Gagool', 'Korah', 'Skoumbruda', 'Fara', 'Tera', ""Rider Haggard's works, but they are notable characters from his novels featuring similar themes and settings as the Ayesha series (also known as Allan Quatermain or She: Amazing Adventures).""]"
Showy display ,eclat,"['Flaunt', 'Extravagance', 'Flamboyance', 'Pizzazz', 'Grandeur', 'Exhibitionism', 'Bravado', 'Pompousness', 'Opulence', 'Lavishness', 'Pageantry', 'Splendor', 'Spectacle', 'Ritzy', 'Flamboyant', 'Dazzle', 'Magnificence', 'Glamour', 'Showboat', 'Exuberance']"
"Task forbidden to lunatics, clergymen, etc",jury service,"['Exorcism', 'Sacrilege', 'Heresy', 'Blasphemy', 'Profanity', 'Idolatry', 'Apostasy', 'Iconoclasm', 'Irreligion', 'Sacrifice (if not approved for certain roles)', 'Prophecy (unauthorized or false)', 'Heathen practices', 'Magic spells', 'Idol worship (in some contexts)', 'Oath-breaking (oaths of office in clergy, oaths taken by lunatics could be considered broken if they go against societal norms)', 'Witchcraft', 'Polygamy (if not allowed within certain religions or by law)', 'Pagan rituals', 'Divination', 'Spiritism']"
Withdraw (something) gradually ,phase out,"['Ebbing', 'Slowly', 'Gradually', 'Phasing out', 'Steadily', 'Incrementally', 'Bit by bit', 'Systematically', 'Stepwise', 'Progressively', 'Methodically', 'Sequentially', 'Piecemeal', 'Little by little', 'Stage by stage', 'Deliberately', 'In a controlled manner', 'By degrees', 'Consistently ', 'Uniformly']"
Deliberately discourteous act ,slight,"['Affront', 'Disparagement', 'Insult', 'Indignity', 'Slander', 'Contempt', 'Offense', 'Taunt', 'Defamation', 'Snub', 'Mockery', 'Scorn', 'Insensitivity', 'Derision', 'Disrespect', 'Humiliation', 'Outrage', 'Impudence', 'Depreciation']"
