CLUE,ANS,POS,FOUND IN
Pieces of broken glass ,shards,10,Broken glass shards
Animal or vegetable pouch,sac,15,Embryonic sac
Max __; Dadaist ,ernst,1,Max Ernst
(Of beer?) available ,on tap,18,Available on tap now
"Differ, dissent",disagree,1,Disagreement
Treat with disrespect ,insult,5,Insulting
Light-in-pumpkin festival ,halloween,11,Halloween movie marathon
Take too much food ,overeat,1,Overeating
Merited ,just,4,Justified
Chrysler Building city,new york,1,New York City
"-- Monroe, US actress ",marilyn,1,Marilyn Monroe
