CLUE,ANS,POS,FOUND IN
Animal or vegetable pouch,sac,5,Greens sack
Belonging to them ,their,1,Theirs
Dirge ,lament,4,Lamentation
Sweet ,dulcet,7,"Dulcet (suggestive of a pleasant, sweet sound)"
(Of beer?) available ,on tap,6,Malt on tap
Treat with disrespect ,insult,1,Insulting
Decline ,ebb,19,Ebbing away
Irish police ,garda,1,Gardaí
Way of bearing one's body ,posture,1,Physical posture
Take too much food ,overeat,4,Overeating
Merited ,just,4,Justifiably praised
Vegetable resembling celery,fennel,8,Fennel (has a long bulb that resembles celery stalks)
Chrysler Building city,new york,1,New York City
"-- Monroe, US actress ",marilyn,11,Marilyn Monroe lookalike
"Examined, tried ",tested,9,Field-tested (when referring to experimental trials)
