CLUE,ANS,OUTPUT
Sketch show featuring Tom Baker ,little britain,"[""Doctor Who sketches (referring to any humorous or artistic representations, possibly related to Tom Baker's tenure as the Fourth Doctor)"", 'Tom Baker sketch comic strips', 'Eccentric Time Lord illustrations (Tom Baker played an eccentric version of the character in ""Doctor Who"")', 'The Master portrait series (since Tom Baker also portrayed the Master, another iconic character from ""Doctor Who"")', 'TARDIS design sketches (a recurring theme in ""Doctor Who"" and associated with Tom Baker)', ""Quibbler comics (featuring Tom Baker's Doctor Who appearance on a satirical publication)"", '""Doctor Who"" fan-made caricatures (sketches often found among fandom artwork for the show, including works inspired by Tom Baker\'s role)', 'Time Lord sketchbooks (imagining artists drawing Tom Baker as his famous character from ""Doctor Who"")', 'Fourth Doctor portraiture (focusing on drawings related to his portrayal of the character)', ""Baker-esque Doctor sketches (artistic interpretations that capture Tom Baker's unique style in playing the role)"", '""Doctor Who"" historical sketch archive (a collection of past artwork featuring actors from the show, including Tom Baker)', 'Fourth Doctor illustration compendium (detailed listings or collections of drawings and caricatures of his character)', ""Time Lord depictions in fan fiction (artistic representations by enthusiasts, often inspired by Tom Baker's portrayal)"", '""Doctor Who"" comics artists tributes (honoring the creators who drew inspiration from or featured Tom Baker in their work)', ""Galleries of Time Lord sketches (exhibits showcasing a variety of drawings related to Tom Baker's character)"", ""Eccentric Doctor Who illustrations (artwork that emphasizes the unique traits and personality of Tom Baker's Fourth Doctor)"", 'Master in artistic depiction sketches (focusing on representations inspired by his dual role as both a Time Lord and The Master)', 'Fan-drawn ""Doctor Who"" scenes featuring the Fourth Doctor (art created by fans that include Tom Baker\'s character in various scenarios)', ""20th Century Doctor sketches (referring to artwork of actors portraying the Doctor, with a focus on Tom Baker's era)"", '""Doctor Who"" Time Lord caricatures (stylized and exaggerated representations often seen in fan-made content related to the show)']"
Bouquet of wine ,nose,"['Vintage', 'Wine selection', 'Grapes', 'Harvest', 'Barrel', 'Corkscrew', 'Grapevine', 'Fermentation', 'Cuvée', 'Blend', 'Sommelier', 'Cellar', 'Aging', 'Vintage year', 'Oenophile', 'Varietal', 'Labeling', 'Tasting glass', 'Bottle opener', 'Wine rack', 'Instead, they provide context and vocabulary surrounding the cultivation, appreciation, and presentation of wine.']"
"Levy, inflict ",impose,"['Assessment', 'Charge (as in legal)', 'Deduction', 'Extraction', 'Penalty', 'Sanction', 'Tariff', 'Tribute', 'Withholding', 'Imposition', 'Burden (as in a financial penalty)', 'Taxation', 'Fee', 'Fine', 'Levy', 'Exaction', 'Surcharge', 'Toll (in the context of roads or bridges)', 'Tariff (as in a customs duty on imports)', 'Imposition']"
Consider right ,approve,"['Rightful - Following what is just, lawful, or morally correct.', ""Right-handed - Preferring to use one's right hand for tasks like writing or manipulation."", 'Correctness - The quality of being accurate or without error.', 'Righteousness - Having strong moral principles and a sense of justice.', 'Rectitude - Moral integrity, uprightness, or correctness in actions and beliefs.', 'Rightful ownership - Legally legitimate possession or claim to something.', 'Right direction - The accurate course or path to follow.', 'Correct interpretation - An accurate understanding of a concept, statement, or text.', 'Justifiable - Having sufficient reason for being accepted as valid or true.', 'Righteous anger - Morally justified feelings of indignation due to perceived injustice.', 'Rightful claim - A legitimate demand or assertion of ownership over something.', 'Corrective action - Measures taken to rectify errors, mistakes, or problems.', 'Rights-based approach - An ethical standpoint that focuses on human rights and entitlements.', 'Rightful leader - The legitimate individual who holds a position of authority or governance.', 'Corrective feedback - Information given to someone with the aim of helping them improve their performance or behavior.', 'Righting wrongs - Actions taken to correct an injustice, mistake, or error.', 'Righteous cause - An issue or situation that is deemed morally justifiable and worthy of support or advocacy.', 'Corrective lenses - Eyewear designed to improve vision through adjustments made by their shape or prescription.', 'Right-wing ideology - Political beliefs or attitudes associated with conservative, traditionalist perspectives.', 'Rectifying mistakes - The process of identifying and correcting errors, faults, or omissions.']"
Insincere support ,lip service,"['Backhanded compliment', 'Faux praise', 'Hollow encouragement', 'Disingenuous approval', 'Spurious endorsement', 'Pretense of solidarity', 'Feigned admiration', 'Inauthentic empathy', 'Artificial affirmation', 'Insincere commendation', 'Hypocritical cheerleading', 'Shallow applause', 'Bland reassurance', 'Superficial backing', 'Fake support', 'Disguised endorsement', 'Effortless sympathy', 'Pretend interest', 'Counterfeit camaraderie', 'Faux-pas empathy']"
Sports and pastimes ,games,"['Soccer', 'Basketball', 'Tennis', 'Golf', 'Baseball', 'Swimming', 'Bowling', 'Cycling', 'Hiking', 'Yoga', 'Running', 'Skateboarding', 'Snowboarding', 'Fishing', 'Archery', 'Volleyball', 'Frisbee Golf', 'Cricket', 'Polo', 'Kayaking', 'Each activity offers unique benefits to the participant, whether it be physical fitness, mental focus, social interaction, or personal growth.']"
Lion/man ,sphinx,"['Lionhearted - showing courage and bravery like a lion; brave and valiant.', 'Lion-like - resembling or having characteristics similar to a lion, such as strength and majesty.', 'Manly - exhibiting qualities typically associated with men, including courage and physical strength.', 'Lionism - an ideology that values the traits of a lion (strength, nobility).', 'Lionhead - referring to someone who is proud or arrogant; can also describe a breed of rabbit known for its distinctive mane-like fur.', 'Lionheartedness - the quality of being brave and courageous like a lion.', 'Manliness - characteristics traditionally associated with men, such as bravery and strength.', 'Lion-man - often used in mythology or folklore to describe a creature that possesses qualities of both lions and humans (like the Greek hero Heracles).', 'Lion-heartedness - showing exceptional courage and valor like a lion; being fearless and bold.', 'Manly manliness - displaying traditional masculine traits such as physical strength, bravery, and assertiveness.', 'Lionism in humans - valuing the qualities of a lion (courage, nobility) within human behavior or personality.', 'Lionslayer - someone who challenges or defeats a lion; often used metaphorically to describe individuals facing seemingly insurmountable obstacles with courage and determination.', 'Man of steel - an expression for someone extremely strong, resilient, and unyielding like the metal symbolizes strength and durability.', 'Lionhearted soldier - a brave soldier who shows exceptional valor in battle or difficult situations; often associated with historical figures known for their courage.', ""Lion's share - one's fair and rightful portion of something, usually referring to an unfair distribution that leaves the smallest part for others, metaphorically resembling a lion keeping most of its prey while leaving only a small piece for others."", 'Manly courage - displaying traditional masculine traits like bravery in facing adversity or danger.', 'Lion-man archetype - a mythological or symbolic representation that combines the characteristics and features of both lions (males) and humans (female).', 'Mighty manliness - displaying significant physical strength, power, and assertiveness characteristic of masculinity.', 'Lion-heartedness in men - referring to qualities such as courage, bravery, and nobility traditionally associated with males but can be exhibited by anyone regardless of gender.', 'Manly lionism - embracing traditional masculine traits while also valuing strength, bravery, and honor like those attributed to lions.']"
On fire - get off! ,alight,"['Flambé', 'Incinerate', 'Ablaze', 'Engulfed', 'Consumed', 'Inferno', 'Blazing', 'Enflamed', 'Overheated', 'Scorched', 'Fiery', 'Combustion', 'Conflagration', 'Ignite (as a warning)', 'Evacuate', 'Extinguish', 'Blaze out (informal)', 'Hotspot', 'Spontaneous ignition (warning term in fire safety context)', 'Flaming danger zone (alert phrase)']"
Bird in a cage ,budgie,"['Parrot', 'Canary', 'Cockatoo', 'Lovebird', 'Finch', 'Pigeon (sometimes referred to as a ""Called-fancy bird"" when kept in captivity)', 'Macaw', 'Quail', ""Peacock (although they're not commonly kept in cages, some individuals may keep them in restricted environments)"", 'Toucan', 'Falcon (hunting birds like these are often trained and kept in specialized enclosures rather than traditional birdcages)', ""Ostrich (some zoos or aviaries might house large birds such as this, though they aren't typically found in small cages)"", 'Emu (similar to the ostrich, not usually kept in a regular birdcage due to size but may be housed in special facilities)', 'Puffin', 'Flamingo (while not commonly kept in cages, flamingos are sometimes maintained in aviaries or enclosures for educational purposes)', 'Pelican', 'Hummingbird', ""Owl (some species of owls may be housed in confined spaces but aren't typically considered 'caged birds')"", 'Woodpecker (not commonly kept as a pet and not usually found in birdcages, though it can occasionally occur)', 'Swan (large waterfowl that might be contained within an enclosed space like a zoo or sanctuary but is rarely associated with typical birdcages)']"
Air attack ,strafe,"['Bombardment', 'Strike', 'Blitzkrieg', 'Invasion', 'Surface raid', 'Skirmish', 'Expeditionary air operation', 'Precision strike', 'Airstrike', 'Aerial assault', 'Reconnaissance sortie', 'Combat air patrol', 'Air superiority mission', 'Bombing run', 'Strategic bombing', 'Interdiction operation', 'Close air support', 'Carpet bombing', 'Raid flight', 'Tactical air attack']"
