CLUE,ANS,OUTPUT
Nauseous when flying,airsick,"['Motion sickness', 'Air sickness', 'Mal de voyage', 'Travel nausea', 'Labyrinthine motion', 'Spatial disorientation', 'Vestibular disturbance', 'Labyrinthitis', 'Motion-induced vomiting', 'Altitude sickness', 'Air pressure changes', 'Dehydration', 'Fatigue', 'Anxiety', 'Stress', 'Fear of flying', 'Inner ear problems', 'Disorientation', 'Spatial confusion', 'Illness (some forms can cause nausea during flight)']"
Anger ,ire,"['Furious', 'Enraged', 'Infuriated', 'Aggravated', 'Hostile', 'Bitter', 'Wrathful', 'Livid', 'Choleric', 'Irate', 'Seething', 'Boiling over', 'Hot-tempered', 'Quick to anger', 'Temperamental', 'Irritable', 'Antsy', 'Cranky', 'Cross', 'Volatile']"
Term of endearment ,sweetie-pie,"['Darling', 'Sweetheart', 'Honey', 'Dearest', 'Love', 'Babe', 'Pet', 'Sweetie', 'Sugarplum', 'Pumpkin', 'Kiddo', 'Chick', 'Precious', 'Little one', 'Sunshine', 'Star', 'Beau', 'Lovebug', 'Wifey', 'Partner']"
"Circuitous route (for traffic, fluids etc) ",by-pass,"['Byway', 'Circumspect', 'Indirect', 'Evasive', 'Circuitous loop', 'Penultimate', 'Meandering', 'Ambulatory', 'Winding', 'Indirect approach', 'Traffic jam', 'Bottleneck', 'Aroundabout', 'By the long haul', 'Long way round', 'Alternative route', 'détournement', 'Peripheral', 'Circumnavigational', 'Prolongated journey']"
Agricultural labourer of low status ,peasant,"['Tenant farmer', 'Farmhand', 'Day laborer', 'Agriplanter', 'Cultivator', 'Field worker', 'Hired hand', 'Contract grower', 'Plantation worker', 'Agronomist', 'Farmerette', 'Marginal farmer', 'Crop producer', 'Rural laborer', 'Agricultural worker', 'Landless laborer', 'Farm laborer', 'Aglaborer', 'Cultivating farmer', 'Contract agricultural labor']"
So that's the way the cookie crumbles! ,i see,"['Accessible', 'Available', 'Present', 'Ready', 'Ready at hand', 'Prompt', 'Ready and waiting', 'Available on request', 'Accessible easily', 'Within reach', 'Open access', 'Conveniently available', 'Ready and waiting immediately', 'Ready whenever needed', 'Present and accessible', 'Available on tap', 'A readily available resource', 'Immediately at your disposal', 'Always available for your needs', 'Ready and waiting for action']"
"Practical, no-nonsense",down-to-earth,"['Functional', 'Useful', 'Practical', 'Functionalize', 'Effective', 'Useful tip', 'Practical solution', 'Straightforward', 'Straight to the point', 'Efficient', 'Effective strategy', 'Useful resource', 'Practical approach', 'Functioning properly', 'Direct and clear', 'Straightforward communication', 'Efficient time management', 'Practical knowledge', 'Effective result', 'Useful gadget']"
Join opponents in a cause ,defect,"['Allies', 'Partners', 'Advocates', 'Campaigners', 'Collaborators', 'Co-conspirators', 'Associates', 'Companions', 'Teammates', 'Co-workers', 'Bandwagoners', 'Mobilizers', 'Supporters', 'Champions', 'Defenders', 'Proponents', 'Followers', 'United front', 'Consensus builders', 'Unity advocates']"
Full of praise ,laudatory,"['Adoring', 'Appreciative', 'Complimentary', 'Fond', 'Grateful', 'Loving', 'Praising', 'Positive', 'Reverent', 'Supportive', 'Warmly impressed', 'Delighted', 'Ecstatic', 'Overjoyed', 'Gushing', 'Enthusiastic', 'Heartfelt', 'Lavish', 'Rapturous', 'Profound']"
Characterized by intense feeling ,emotional,"['Agitated', 'Anxious', 'Excited', 'Furious', 'Furious with rage', 'Intense', 'Passionate', 'Troubled', 'Worried', 'Fearful', 'Aghast', 'Bewildered', 'Distressed', 'Furious with grief', 'Overjoyed', 'Overwhelmed', 'Panicked', 'Resentful', 'Suspicious', 'Haunted']"
Small cake or bread roll ,bun,"['Scone', 'Biscuit', 'Muffin', 'Turnover', 'Pastry', 'Cakelet', 'Doughnut', 'Pasty', 'Tart', 'Biscuit dough', 'Finger food', 'Dessert', 'Pastry shop', 'Afternoon tea treat', 'Bread pudding', 'Crumble', 'Turnover sandwich', 'Shortbread', 'Gingerbread cookie', 'Scone with clotted cream']"
Prediction of poor weather,fog warning,"['Gale warning**', 'Storm watch**', 'Weather alert**', 'Cloud cover prediction**', 'Atmospheric analysis**', 'Severe weather advisory**', 'Precipitation forecast**', 'Thunderstorm warning**', 'Snowstorm prediction**', 'Hurricane watch**', 'Flood alert**', 'Extreme weather alert**', 'Severe weather advisory**', 'Lightning prediction**', 'Windstorm warning**', 'Fog advisory**', 'Avalanche warning**', 'Flash flood prediction**', 'Coastal storm warning**', 'Extreme temperature alert**']"
Sold illegally or secretly ,under-the-counter,"['Bootleg', 'Counterfeit', 'Smuggled', 'Black market', 'Underground', 'Illicit', 'Contraband', 'Piracy', 'Counterfeiting', 'Fraudulent', 'Covert', 'Under the table', 'Black ops', 'Gray market', 'Shadow market', 'Underground trade', 'Illegal acquisition', 'Counterfeit goods', 'Counterfeit money', 'Illegally obtained goods']"
Tics ,spasms,"['Muscle spasm', 'Reflex action', 'Involuntary contraction', 'Tic disorder', 'Tics associated with ADHD', 'Startle response', 'Involuntary movement', 'Pathological tremor', 'Reflex movement disorder', 'Involuntary muscle twitch', 'Sudden muscle spasm', 'Uncontrollable muscle twitch', 'Involuntary body movement', 'Hyperkinetic tic disorder', 'Tic-related behavior', 'Motor tic', 'Vocal tic', 'Tourette syndrome', 'Habit tic', 'Benign tic disorder']"
Miser ,skinflint,"['Frugal', 'Thrifty', 'Economical', 'Budget-conscious', 'Prudent', 'Money-saving', 'Cost-efficient', 'Value-driven', 'Budget-friendly', 'Smart spending', 'Careful expenditure', 'Expense management', 'Saving money', 'Financial awareness', 'Value-for-money', 'Debt-free', 'Low-cost', 'Free of charge', 'Affordable', 'Budget-wise']"
Polish; glow ,shine,"['Szczyglowy', 'Polny', 'Świtowy', 'Promienisty', 'Blaskowy', 'Metaliczny', 'Szafinowy', 'Włókienisty', 'Kryjący', 'Różowy', 'Skromny', 'Spokójny', 'Jasny', 'Naturalny', 'Silny', 'Kremowy', 'Metalowy połysk', 'Wistonosłowy', 'Włókienistość', 'Matowy']"
Beatle ,ringo,"['Abbey Road', 'Yellow Submarine', 'Yesterday', 'Strawberry Fields Forever', 'Hey Jude', 'Let It Be', 'All You Need Is Love', ""Octopus's Garden"", 'Yesterday Once More', 'I Want to Hold Your Hand', 'All My Life', 'Come Together', 'Across the Universe', 'Let It Go', ""Yesterday's Gone"", 'Here Comes the Sun', 'Hey Jude (instrumental)', 'Norwegian Wood', 'I Saw Her Standing There', 'The Ballad of John Lennon']"
Hot food (that sounds cold!),chilli,"['Warm breakfast', 'Piping hot coffee', 'Broiling pizza', 'Sizzling bacon', 'Piping hot soup', 'Grilled cheese sandwich', 'Steaming dumplings', 'Warm croissant', 'Hot cocoa', 'Fondue with bread cubes', 'Hot oatmeal', 'Warm apple pie', 'Hot chicken dinner', 'Grilled fish with lemon', 'Hot dog with chili', 'Warm spinach and feta dip', 'Hot and sour soup', 'Grilled pineapple with ice cream', 'Hot spiced tea', 'Warm apple pie with ice cream']"
