CLUE,ANS,POS,FOUND IN
Food grain ,cereal,13,Teff (a small-grained cereal grown in Ethiopia)
Means of help in project ,resource,1,Resources
(Of show) performed by a single person ,one-man,2,One-man show
Language of much of the New World ,spanish,2,"Spanish (spoken in many countries in Central and South America, as well as in the United States)"
Exhales sadly ,sighs,1,Sighs heavily
Units of sound intensity ,decibels,1,"Decibel (dB): The most commonly used unit of sound intensity, decibels measure the logarithm of the ratio of the loudness of a sound to a reference level"
Disease of pigs ,swine fever,3,African swine fever
Furrow ,groove,3,Grooved
Regular traveller to work ,commuter,1,Daily commuter
Someone from north of the border? ,scot,14,"Nova Scotian (from Nova Scotia, Canada)"
"-- Radcliffe, English long-distance runner ",paula,1,Paula Radcliffe
Reuse (old ideas) with little improvement ,rehash,5,Rehash (repeating old ideas without adding anything new or innovative)
