CLUE,ANS,POS,FOUND IN
Get bigger ,grow,3,Growing larger
Uncommon ,rare,2,Rarely encountered
Discharge; give expression to,vent,6,Emotional discharge: Releasing pent-up emotions in response to an event or stimulus.
Friendly ,sociable,2,Sociable: Enjoying the company of others; outgoing in social situations.
Ought to ,should,19,Should receive consideration
Food from milk curd ,cheese,1,Cheese-making process
Tufted velvety cord or yarn ,chenille,14,"Chenille yarn (famed for its plush and fuzzy feel, which may evoke the sensation associated with velvet)"
Occupation ,work,11,Charity Worker - A compassionate individual working in nonprofit organizations that distribute food and resources to those facing hunger.
Food grain ,cereal,1,Cereal crop
Furthest extent ,limit,1,Ultimate limit
Aid in a crime ,abet,9,Aider and abettor (legal term for someone who helps in a crime without directly committing it)
Dismal ,drear,3,Dreary
Scare away ,shoo,5,Shoo away
With much to do ,busy,11,Busy bee lifestyle
Bigotry ,bias,5,Unjustifiable bias
Polynesian garland ,lei,2,"Lei - A traditional Hawaiian garland made from dried leaves, flowers, and other natural elements, often worn as a symbol of affection or given to honor someone."
Gains points ,scores,6,Amasses scores
One with no illusions ,realist,3,Realistic
